Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2016;Maret;4;-2.2;-2.5;35.4;38.5;1403;1233;951;24
2016;Maret;5;-2.3;-2.2;33.9;33.3;1006;1688;20;599
2016;Maret;6;-3.4;;35.1;;1530;1143;1196;210
2016;Maret;7;-3.5;-4.4;36.7;-50.9;1433;10868;1543;1712
2016;Maret;8;;-3;;35.9;1500;1801;2;1578
2016;Maret;9;-5.1;-4;35.9;31.7;1155;1203;2423;2017
2016;Maret;10;-1.5;-5.9;35;35;1260;1056;787;3364
2016;Maret;11;-3.7;-5.7;40.2;32.1;1149;1224;2083;3544
2016;Maret;12;-2.7;-2.7;38.1;38.1;1827;1149;1282;1282
2016;Maret;13;-1.2;-3;35.8;39.5;1341;1404;432;1035
2016;Maret;14;-3.1;-4;26.9;41.2;1007;1380;1349;1630
2016;Maret;15;-2.7;-1.4;30.7;36.6;1849;1151;45;20
2016;Maret;16;-2.7;-3.9;32.9;42.1;1241;1570;1005;1464
2016;Maret;17;-1.5;-3.9;28.9;;1407;1145;1058;2294
2016;Maret;18;-4.6;-4.4;34.8;36.3;1286;1333;1882;2599
2016;Maret;19;-4.1;-3;38.2;39.5;701;1404;1604;1035
2016;Maret;20;-4.7;-4.7;29.6;38.1;914;1107;2471;2340
